X1,X2,X3,X4,Y
24.3723286005,20.8576589998,-14.7991250492,-1.63923729626,19
-0.123954713553,4.13023460187,4.15995782202,9.74394466572,15
-0.123954713553,4.13023460187,4.15995782202,9.74394466572,19
-0.123954713553,4.13023460187,4.15995782202,9.74394466572,16
23.992924927,10.4948956636,18.556547,-9.23101465682,16
44.3818551439,-10.528117916,-2.09203197559,1.22264522193,21
-0.0177278919505,1.32640131442,1.75904809749,-0.187643102565,19
-6.26003306014,-0.632349363119,-0.724274867442,0.158379106455,21
-6.54282850063,-1.36501780522,0.745141967834,1.03415799609,17
44.3818551439,-10.528117916,-2.09203197559,1.22264522193,21
-7.59558356033,-2.06000211372,-0.962957126491,-2.47984206756,21
-6.97096294045,-0.153606936537,1.24953234899,3.41458517043,21
-6.15246631165,-0.325861145536,-0.0852326397311,0.00413574569904,17
-7.21474262074,-1.28747788082,-0.76244655675,-1.62930240116,21
